date,company,title,location,salary,benefits,description,website
,Home Depot / THD,Cybersecurity Analyst (Remote),"Remote in Atlanta, GA 30301+1 location","$80,000 - $130,000 a year",Profit sharing,"Position Purpose: Protecting what matters most to our associates and consumers by securing our sensitive data and critical assets from current and emerging threats. At The Home Depot Cybersecurity consists of Architecture, Governance, Identity & Access Management, Internal Threat Operations, Issue and Compliance Management, Risk Assessment/Advisory, Security Consulting, Security Operations and Strategic Planning.  Analysts are responsible for data management, analyzing performance, identifying problems, and developing recommendations that support Cybersecurity initiatives. Collaborates with cross functional teams to collect, analyze data, presents results and provides recommendations.  Major Tasks, Responsibilities & Key Accountabilities: 100% Deliver Execution, Plans & Aligns - Develop insights and analyses to inform business decisions Evaluate and provide recommendations based on findings Partner cross functionally to solve problems and identify trends Build and deliver solutions to meet the customers expectations  Nature and Scope: This position typically reports to Manager or Sr. Manager  This Position has 0 Direct Reports  For Colorado, Connecticut, Nevada and New York City residents: The pay range for this position is between $80,000 and $130,000. Starting salary may vary based on a number of factors including, but not limited to, the position being offered, location, education, training, and/or experience. The Home Depot offers additional competitive financial and non-financial benefits, which may include a performance-based bonus program or a profit sharing program depending on position.  Environmental Job Requirements: Environment: Located in a comfortable indoor area. Any unpleasant conditions would be infrequent and not objectionable.  Travel: No travel required.  Additional Environmental Job Requirements: This Position typically reports to Manager or Sr. Manager Standard Minimum Qualifications: Must be eighteen years of age or older. Must be legally permitted to work in the United States.  Education Required: The knowledge, skills and abilities typically acquired through the completion of a high school diploma and/or GED.  Years of Relevant Work Experience: 0 years  Physical Requirements: Most of the time is spent sitting in a comfortable position and there is frequent opportunity to move about. On rare occasions there may be a need to move or lift light articles.  Knowledge, Skills, Abilities and Competencies: Action Oriented  Collaborates  Communicates Effectively  Customer Focus  Drives Results",https://www.indeed.com/viewjob?jk=6cf6398410153a0c&fccid=82e58e9861d48566&vjs=3
,Hulu,Data Analyst,"Santa Monica, CA",Full-time,,"We are seeking a Data Analyst who will focus on analyzing subscriber retention and engagement. Collaborating across marketing, product, data engineering, data science and business teams, this position will design and implement reporting that enables internal clients to access, explore and monitor data, as well as perform analysis and share underlying trends and insights to help teams have a better understanding of the ESPN+ and Disney+ subscribers, audience behavior and engagement drivers. Responsibilities Mine data, perform quantitative analysis and create clear and actionable narratives about our audience, their behaviors, and drivers of retention and engagement. Partner with colleagues facilitating the design, build and automation of reports / dashboards that provide insight into customer conversion and behavior. Build intuitive interfaces, infographics, and visualizations to tell stories with data. Create presentations with analysis and insights for both technical and non-technical audiences. Requirements 2+ years of analytical experience. 1+ years work experience using SQL and Python/R or other statistical programming language. Familiarity with data exploration and data visualization tools like Tableau, Looker, Chartio, etc. It is a plus if you can share a portfolio of clear, intuitive and insightful visualizations. Understanding of statistics concepts (e.g., hypothesis testing, regression analysis). Ability to think strategically, analyze and interpret market and consumer information. Strong communication skills, as well as written and verbal presentation skills. Degree in an analytical field.",https://www.indeed.com/viewjob?jk=38d685cb5059bbd5&fccid=6824fc1f087bd63e&vjs=3
,BairesDev,Business Analyst Work,"Remote in Los Angeles, CA",,Flexible schedule Parental leave Work from home,"Who We are BairesDev is proud to be the fastest-growing company in America. With people in five continents and world-class clients, we are only as strong as the multicultural teams at the heart of our business. To consistently deliver the highest quality solutions to our clients, we only hire the Top 1% of the best talents and nurture their professional growth on exciting projects. Business Analyst at BairesDev We are looking for a Business Analyst to join our Development team and participate in different projects made up of multicultural teams distributed throughout the world. We are looking for proactive people, team players passionate about programming in this language and oriented to provide the best experience to the end user. This is an excellent opportunity for those professionals looking to develop in one of the fastest growing companies in the industry! These developers will face numerous technical challenges, so they must use current technologies, get involved in the mobile world, web applications, devices, etc. What You’ll Do: Be the link between users and technical development teams. Be responsible for identifying the business needs. Generate the specific functional documentation. Translate the requirements into requirements for development teams. Here’s what we are looking for: Extensive experience working on computer products requirements. Very good management of interpersonal communication and customer management. Very good multidisciplinary teamwork skills. Advanced English level. How we do make your work (and your life) easier: 100% remote work. Hardware setup for you to work from home. - Flexible hours - make your schedule. Paid parental leave, vacation & holidays. Diverse and multicultural work environment. An innovative environment with the structure and resources of a leading multinational. Excellent compensation — well above the market average. Here you can grow at the speed of your learning curve. Our people work remotely but with a consistent and robust culture that promotes diversity and teamwork. To continue being the leading software development company in Latin America, we want to ensure that every BairesDev member gets the best growth and professional development opportunities in a diverse, welcoming, and innovative environment. Every BairesDev team member brings something unique to our company. We want to hear your story. Apply now!",https://www.indeed.com/viewjob?jk=4d401b642170c132&fccid=29707109e86166e5&vjs=3
Employer reviewed job 2 days ago,First Soft Solutions,Business data Analyst (Tableau),"Ohio City, OH",$30 - $35 an hour,,"We are actively #hiring for Business Data Analyst (Tableau and SQL) with our direct client W2 position no C2C (contract to hire with our direct client) OH, MI, VA, or FL. Kettering, OH Technical competence in SQL & Tableau is a must. We also use Alteryx (but are migrating away) and are integrating Workato. Would be willing to help develop skills in Alteryx or Workato The role includes developing dashboards (primarily in Tableau), analyzing trends (e.g., whether our dashboards predicted turnover), forecast modeling (e.g., capacity, retention), and packaging information into actionable formats. Job Types: Full-time, Contract Pay: $30.00 - $35.00 per hour Schedule: 8 hour shift Ability to commute/relocate: Ohio City, OH: Reliably commute or planning to relocate before starting work (Preferred) Education: Bachelor's (Preferred) Experience: REST: 1 year (Preferred) Java: 1 year (Preferred) Work Location: One location",https://www.indeed.com/company/First-Soft-Solutions/jobs/Business-Data-Analyst-d957e30f09047a64?fccid=73f611abbc5f0360&vjs=3
,Disney Streaming,Assoc Data Analyst,"San Francisco, CA+1 location",,,"The Disney Streaming Data and Analytics organization is seeking an Associate Data Analyst who will be an exceptional addition to our Advanced Analytics, Content team. As Associate Data Analyst, you will join our content team that applies analytical rigor to optimize our content portfolio, merchandising and release strategy.  The right person for this role has exceptional analytical capabilities, thrives in a fast-paced environment, loves problem-solving, is a strong communicator, and is passionate about television and movie content. If you are someone who gains personal satisfaction from utilizing data to drive business decisions and you're eager to learn, then this is a great role for you.  Responsibilities : WHAT YOU’LL DO Apply advanced analytics techniques (data mining, data visualization, statistical analysis, machine learning) on large-scale, high-dimensional data to help drive business decisions Analyze customer behavior (e.g., genre preferences, viewing patterns) to identify unmet customer needs and untapped content opportunities Analyze content engagement to help guide acquisition decisions Optimize our content launch and episode release strategy by analyzing trends and outliers Test merchandising strategies to optimize engagement and retention Ideate and develop new metrics and KPIs, measuring content performance for both tactical and strategic decision-making Provide ad-hoc analysis support for stakeholders to help move the business forward Effectively communicate actionable results through compelling data storytelling across the organization WHAT TO BRING Bachelor’s degree in Mathematics, Statistics, Operations Research, Computer Science or equivalent knowledge Experience in SQL and R and/or Python Experience in statistical analysis: distributions, decision trees, regression, clustering etc. Outstanding data storytelling skills through verbal, written, and visual communication NICE-TO-HAVES A passion for Media and Entertainment  Additional Information : DISNEYTECH",https://www.indeed.com/viewjob?jk=3a873ee023df61ae&fccid=40e5de3065c12562&vjs=3
,ITR Group Inc,SQL/Excel Data Expert,Remote,$50 - $55 an hour,401(k) Health insurance,"ITR Group's client is in need of a SQL/Excel expert to work directly with the capability mangers along with their SME’s on Release Code Management as they go through Database refreshes. Every other week the capability teams are uploading details on the code that they are pushing into production via sharepoint. This is done as a description as opposed to lines of code. The teams will put together fully backed code situations and partially back code situations. This data analyst will be responsible for pulling this information and creating advanced Spreadsheets, pivot tables, charts and create functions in excel to organize the data. In addition to organizing the data they will perform data analysis with the information provided from capability team. At any given time they could be working across 15 different capabilities(Applications). Contract thru Dec 31,2022 Possibility to extend the contract Job Type: Contract Pay: $50.00 - $55.00 per hour Benefits: 401(k) Health insurance Schedule: 8 hour shift Work Location: Remote",https://www.indeed.com/company/ITR-Group-Inc/jobs/SQL-Excel-Data-Expert-05bf40e4420b2e1b?fccid=6c5c1f57d06ced54&vjs=3
,Dataspace,158: Data Analyst / Junior Data Engineer,Remote in New York State+1 location,"$120,000 - $150,000 a year",,"Our client, Topps Digital, a division of Fanatics, is a global brand delivering amazing mobile sports and entertainment apps to fans all over the world. They’re now looking for a data expert to provide decision-makers with insights to make the best possible products for their fans. Do you have a passion for analytics AND for sports, entertainment, and digital gaming? Are you looking for the opportunity to play a role that fuses the two in a global company? We should talk! Please submit your resume and fill out our questionnaire ASAP!  THE WORK: This role will morph over time. At the start, you’ll work with product managers - using Looker to create dashboards that track their KPIs. You’ll also use SQL to perform critical ad hoc analyses.  Over the course of a few months your role will morph toward data engineering. In that space you’ll grow your skills as you work with a senior data engineer to build out Topps’ next generation data infrastructure.  LOCATION: Remote from anywhere in the US.  MODE: Contract to hire in which you’ll start as a contractor with the intention that you’ll shift over to Topps’ full time, permanent staff over the course of a few months.  SKILLS: Applicants must be very strong in the following: Mandatory SQL Mandatory Data visualization tools  Desirable Looker Desirable Python Desirable Spark Desirable Mobile games or product experience Desirable Interest in sports and entertainment  COMPENSATION: $120k - $150k depending on skills and experience. Strong benefits package  WHY THIS JOB IS SPECIAL: You’ll get to work with cutting edge web technologies as you’re entrusted with making sure that product managers get the data they need to grow this fun, global brand.  INTERESTED? If you're interested and have the skills, we'd love to hear from you. Please answer our questionnaire and submit your resume right away! Thanks! Why data job seekers work with Dataspace NOTE: Dataspace performs background and drug screens on accepted candidates prior to their employment or contract start dates.",https://www.indeed.com/viewjob?jk=308f310993ff58a3&fccid=fd48cca636dcf9a5&vjs=3
,Specialty Dental Brands - Base Camp,Data Entry Analyst,"Nashville, TN 37209",,,"Full description Job Title: Financial Data Analyst Department: Information Technology Reports to: Manager of Data and Analytics Status: Full Time Job Summary: Specialty Dental Brands is the nation’s leading premier multi-specialty support organization. SDB partners with best-in-class Pediatric, Orthodontic and Oral Surgery practices aligned with a shared mission of clinical excellence. Proudly aligned with 130 practices in 12 states, SDB partners achieve a pathway to financial freedom while maintaining their private practice identify and culture. We are looking for a passionate Data Analyst. About the role: The successful candidate will turn data into information, information into insight and insight into business decisions. The role is a perfect fit for someone who: Excels at translating raw data into compelling stories meant to spur action Has experience working with data and analytical tools Will find a solution to complex problems Is not afraid to learn new tools and approaches . Develop and execute automated reports for efficient and timely dissemination of critical data Has experience with financial data analysis Can build relationships across the organization Job Duties and Responsibilities: Interpret data, analyze results using statistical techniques and provide ongoing reports Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality Acquire data from primary or secondary data sources and maintain databases/data systems Identify, analyze, and interpret trends or patterns in complex data sets Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems Work with management to prioritize business and information needs . Work Alongside our FP&A team Locate and define new process improvement opportunities Typical Day to Day: Data cleansing and manipulation, analyze data & create charts/graphics to present to leadership on performance metrics of each office Can build relationships across the organization · Will find a solution to complex problems · Is not afraid to learn new tools and approaches",https://www.indeed.com/viewjob?jk=d4db0b5eb2e7ca1a&fccid=dd616958bd9ddc12&vjs=3
Posted 9 days ago,Allocate,Data Quality Analyst,Remote,Contract,,"About us We founded Allocate with the simple mission of making investing in top-tier private alternatives within the technology sector more accessible for a broader set of investors. We believe that the mark of healthy and efficient markets requires the financial inclusion of all qualified market participants. However, despite significant demand, investing in private technology-focused alternatives is more complex than ever as discovery, investment diligence and selection, access, and deal execution all serve as substantial roadblocks. With Allocate, investors can find, invest (through Allocate SPV feeders), and track highly vetted opportunities through our turnkey digital platform in a single easy-to-use interface. Primary responsibilities include: Collect, clean, and process data related to startups and investment firms Verify the accuracy of the data Develop processes to make our data workflows more efficient and accurate Work with data/product/engineering teammates to turn data into impactful products Qualifications: Proficiency with spreadsheets (Excel and Google Sheets) and web searching Strong attention to detail Entrepreneurial spirit. You are self-directed, innovative, and biased towards action in fast-paced environments. (Nice to have) Interest in startups and investing Job Type: Contract Schedule: Monday to Friday Self-determined schedule Work Location: Remote",https://www.indeed.com/company/Allocate/jobs/Data-Quality-Analyst-b4e4d1ed1ded7e1b?fccid=a4336c04f8e512f5&vjs=3
,pulseData,Data Analyst (Remote),"Remote in New York, NY","$60,000 - $80,000 a year",401(k) Dental insurance Gym membership Health insurance Unlimited paid time off Vision insurance,"Join us as we pursue our vision to eliminate preventable sickness. We are a distributed team filled with people who are passionate about our product and seek to deliver the best experience for our customers. At pulseData, we’re committed to our work, our customers, having fun, and each other’s success.  pulseData leverages data science and machine learning for Hospitals and Healthcare companies, to identify patients at risk of costly and avoidable medical outcomes. Our bespoke suite of products not only impacts our customers, but it prevents the suffering of thousands of patients who can receive the care they need before they know they need it. The work you'll do here has a massive impact. The Role: You'll be making our data more accessible, understandable, and usable and assisting with client deliverables. You'll be cleaning and scrubbing medical record data and claims data to ensure it can be used in our data pipelines. You'll be delivering the data in a useful and appealing way to technical and non-technical audiences. You'll create robust methods to detect missing or poor data. Your Background: Bachelors Degree in a computer science or a quant degree. Experience working in Python (Pandas) is preferred; SQL is okay. Demonstrated ability to troubleshoot complex issues and find resolutions in a fast-paced, startup environment. Bonus points for any experience in Spark. Strong willingness to learn new technologies. The Perks: Compensation between $60k to $80k plus potential bonuses A remote working environment - we work ET hours but you can tune in from anywhere. Awesome benefits including top tier medical, dental, and vision insurance - 85% of which is covered by pulseData. Unlimited PTO - so you can stay at your best year round! Fun gym discounts, a 401k, and a new laptop + equipment. Company offsite adventures throughout the US each year. Tons of room for growth and the ability to learn new things. An awesome tribe of smart and inclusive people that believe in diversity of thought and disrupting the status quo. This role NOW offers sponsorship.  Chronic Kidney Disease (CKD) is a substantially under-diagnosed condition that affects 37 million people in the US. Today, clinical and care management teams use our platform to identify the most at risk-individuals and proactively deliver care in advance of adverse events, delivering better clinical outcomes at a lower cost. Our clients are risk-bearing healthcare enterprises: ACOs, kidney clinics and nephrology practices, large health systems, managed care and health insurance companies. Together, we use data science to deliver more human care.  pulseData is backed by some of the best investors in the industry, recently raising a $16.5M Series A led by Bain Capital and Two Bear Capital.",https://www.indeed.com/viewjob?jk=20d3e043ea23ef18&fccid=2c23f29fcd5c78da&vjs=3
,Philips,Complaint Handling Data Analyst - PD,Remote,,Opportunities for advancement,"Job Title Complaint Handling Data Analyst - PD Job Description Effective Tuesday, January 4, 2022, all U.S.-based employees are required to be fully vaccinated against COVID as a condition of employment at Philips*. Employees may request a reasonable accommodation. *Montana employees are currently excluded from this requirement at this time. If you are a Colorado resident and this role is a field-based or remote role, you may be eligible to receive additional information about the compensation and benefits for this role, which we will provide upon request. You may contact 888-367-7223, option 5, for assistance. Philips is a global leader in health technology, committed to improving billions of lives worldwide and striving to make the world healthier and more sustainable through innovation. Driven by the vision of a better tomorrow. But it’s not just what we do, it’s who we are. We are 80,000, wonderfully unique individuals, with two things in common: An unwavering sense of purpose and a relentless determination to deliver on our customers’ needs. It’s what inspires us to create meaningful solutions – the kind that make a real difference – when it matters most. The world and our customers’ needs are changing faster than ever before and while we are proud of what we do already, we know we can do more. That’s why we need you, to help us tackle increasingly complex challenges posed by ever evolving health and well-being needs. In this role, you have the opportunity to make life better Looking at the challenges the world is facing today Philips’ purpose has never been more relevant. So, whatever your role, if you share our passion for helping others, you’ll be working towards creating a better and fairer future for all. Be part of a diverse global team responsible for Post Market Surveillance and Complaint Handling for all of Philips. You will have to opportunity to work with teams all over the world implementing changes to continuously improve our products and services. You are responsible for Electronic QMS systems data subject matter expert (SME) Ability to translate business requirements into technical queries Ability to analyze existing tool, systems, databases, etc. and provide suggestions or identify potential improvements. Processing confidential or Protected Health Information (PHI) in accordance to applicable standards. Support data warehouse team, if necessary, to ensure alignment of central analytic requirements with business systems. Providing technical expertise in data storage structures, data mining and data cleansing. Support data request / queries for complaint handling audits Responds to B/M/F questions regarding data trends and provides guidance on product / trend specific concerns. Works with the various KPI owners to maintain oversight of all KPIs and ensuring accuracy of data reported to the leadership team Responsible for continual review of data related to business complaint handling needs. Assures the data integrity of all output via appropriate verification and validation activities. Ability to document statistical-based trending procedures and trending analysis validation in compliance with regulatory requirements Develop and deliver training materials to aid teams with their understanding of statistical-based trending methods Ability to explain statistical rationale and trending procedures during regulatory audits, if necessary. Provides additional support to their manager for requested activities Ability to work with stakeholders to assess areas of risk in data handling Accountable for supporting the complaint data related deliverables Has wide-ranging experience, uses professional concepts and company objectives to resolve complex issues in creative and effective ways. Distinguished by additional specialized knowledge in breadth and/or depth, as well as record of success in relevant business process/function. Viewed as an expert in the field. Has expert level knowledge of company products and services and may be tasked with introducing new concepts. Works on problems of diverse scope where analysis of data requires evaluation of identifiable factors. Demonstrates good judgment in selecting methods and techniques for obtaining solutions. Networks with senior internal and external personnel in own area of expertise. To succeed in this role, you should have the following skills and experience Formal education in data analytics, statistical techniques, mathematics, computer science, relevant certifications. 1-3 years of experience in data analytics or computer science related roles Experience leading a team project and bring a team to consensus US work authorization is a precondition of employment. The company will not consider candidates who require sponsorship for a work-authorized visa. Why should you join Philips? Working at Philips is more than a job. It’s a calling to create a healthier society through meaningful work, focused on innovative, customer-first health technology solutions. Help us improve the health and well-being of billions of people, every year. Ultimately creating a career that no one could have planned for. Even you. Philips is a global leader in health technology, committed to improving billions of lives worldwide and striving to make the world healthier and more sustainable through innovation. Driven by the vision of a better tomorrow. But it’s not just what we do, it’s who we are. We are 80,000, wonderfully unique individuals, with two things in common: An unwavering sense of purpose and a relentless determination to deliver on our customers’ needs. It’s what inspires us to create meaningful solutions – the kind that make a real difference – when it matters most. The world and our customers’ needs are changing faster than ever before and while we are proud of what we do already, we know we can do more. That’s why we need you, to help us tackle increasingly complex challenges posed by ever evolving health and well-being needs. Visit our careers website to explore what it’s like working at Philips, read stories from our employee blog, find information about our recruitment process and answers to some frequently asked questions. #LI-PH1 It is the policy of Philips to provide equal employment and advancement opportunities to all colleagues and applicants for employment without regard to race, color, ethnicity, religion, gender, pregnancy/childbirth, age, national origin, sexual orientation, gender identity or expression, disability or perceived disability, genetic information, citizenship, veteran or military status or a person’s relationship or association with a protected veteran, including spouses and other family members, marital or domestic partner status, or any other category protected by federal, state and/or local laws. As an equal opportunity employer, Philips is committed to a diverse workforce. In order to ensure reasonable accommodation for individuals protected by Section 503 of the Rehabilitation Act of 1973, the Vietnam Veterans' Readjustment Act of 1974, and Title I of the Americans with Disabilities Act of 1990, applicants that require accommodation in the job application process may contact 888-367-7223, option 5, for assistance. Equal Opportunity Employer/Disabled/Veteran",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B_ic_lyYdB92l-47iK7M2O-Cx2i-GLy_ImdN3yuA5nHhsz19d2WfCznzZB-M6BOBKBYTfVc0n_O6LyE6P3VUuIajrGSHaOIs9pWNzRNgRbFMUXvh4YoJWst4PbghVf6tXAXXtU-PClaZDITwQQmx0RFer0glAqfP4-pjr_zE-zGvv-WHb7_Hge0Vu71KaAwZ6U2arLvh8JuFWbfbBSva6aobVzUcN-5h7i6SPdZ47nVt870EdMfEGmUSb9yGGzaQNE0Lupo8ZK3zQ3FuUA7RSthC7KEBmZrct-tk9TP84Hllho5GL-Y07BDkJRPVH48ZTLjH_ZN1cNVk0eT-Vddn8FYVEnuiCXDmoZ2qzbOnHU7CjRi358YbVDiJ-ZYhq_X7v5S0Ni62FfYC_0kevWD2UQy5XEjzrFp03j00vV3z9psaz4FvF6LuTJvREzmuzddEVLTEJkXqEJD7xgnJG1jHyWu6shnk7WOcfdSEoojbHf28K0z1wrKA4F1oB21QLvtYZC3yWYgnO3DbNonjUTcRWdnEFmnPAPpugQKt_HNkDJz3Q9rkwedoovvwfuIlfdKsPWftX-ODajtxlz9m7T8mIyYx2O6Os-K8rfKg8Sf6mvM0xDhQCgg2wUOiZSWcvXjVbTRqO5G8rcPw==&xkcb=SoDR-_M3bC2wMlwdlh0LbzkdCdPP&p=0&fvj=0&vjs=3
,Apple,Business Analyst - Apple Media Products -,"Austin, TX+1 location",Full-time,,"Summary Posted: Jun 14, 2022 Role Number: 200391886 Do you have a passion for invention and self-challenge? Do you thrive on pushing the limits of what’s considered feasible? The people here at Apple don’t just create products - they create the kind of wonder that’s revolutionized entire industries. It’s the diversity of those people and their ideas that inspires the innovation that runs through everything we do. The AMP Moderation group is seeking a forward-thinking and motivated analyst to help ensure accuracy and integrity across Apple Media Products discovery features. We evaluate and take action on signs of fraud, abuse, and manipulation. You will demonstrate analytic skills and be comfortable working with data in various environments and formats. Flexibility to work Saturdays and Sundays is a requirement of this role. This is a full-time position based in Austin. If you're keen to join one of the most successful companies in the world, then we'd love to hear from you. Let’s do our best work together. Key Qualifications Results-oriented, persistent, and meticulous. Strong analytical skills, business focused and passionate about the customer experience. You are good with a dynamic work environment. Background in fraud investigations a plus. Create opportunity out of uncertainty and able to provide insights to improve policy and process Familiarity with Apple Media Products beneficial. Description You will be integral to the worldwide customer experience of all Apple Media products ensuring that they are safe and trusted platforms for our customers to find, download and stream content. Analysts in our Apple Media Products group take a high volume of actions daily to reduce the impact of fraudulent content on our platforms This team provides cover seven days per week. Analysing data for the purposes of risk mitigation using multiple internal tools and Excel for investigations. Identifying new fraud patterns. Consistently exercising sound judgement to identify potential problems and provide solutions. The position requires excellent communication skills, resourcefulness, and ingenuity in solving problems. Ability to work with minimal supervision while managing a variety of responsibilities. Education & Experience Bachelors degree or if you have relevant experience, you are encouraged to apply Additional Requirements",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BvKrLyj5gPmtZO9T8euul8TCxuuKNOtzRJOomxnwSEodTz2Bc-sPZlADHp0xxmf8WhxcbdJ-TRCsZaxfAtbyn9e-kYCMeOPf1fIUJqz3uI89MvTIsX3JVKgEMMZo0XOEoOZJq0sqzW0fWjj-iFAI5RGUSZYfyMMGuNG122b3czkyUwQu7Ca6mBoZxXMXc-rSUefKDEF-vOgn4TbIgbpH14MycJAK-zwiEWjj-7iPP5fhpH_NJcXDciXYZsuSQ7fkulmL5lZpqZIykAYyIOiFjexeYT11OqnOeiib_qY5HFbuiY7V3jU7It_wZoks-3owJh2Y-iNoojZuCmpfYJNcxQphzQ9ldznsiQupE88DLF3YQMeShjBJYOBoYbdKzPjJTSMl8yv1ngnoKtS2lUjst9Af3gcNGRD4p_tlDglhCcmIQSsmMYtmjT5AmGSYV31d6QwcDnemJ2aKgN8I9g5wT7pEvKjHjkzTEkTWVjdLf6TEvSfjo8HhklM_ZIevafS6HufHUfznPrsXz2YqHDY_8jekjStSNJWP9v8ws5H7FuHHr6y3TVRDHznE4uJYMS7Ae7NyAWi0o1SLgR_zWqlSI99TGhfosvAlkGSvr5FL6mjU4wlGiL9TvysCjLoidwIkM8Ae2I2KyNiChYBcNHVt_gWT7sv_4ZZo4U95aHbLuF1A4UkSxUdZugtNVwQbxRJk2_ErL_EnNBNleGxnWSSrbSH1cMb5-E0ah2NmyfCPdT-lbMkVWelvIHdoY4sLkFt5opGPga2732ad5kswTgZAvFwJ7sXlKLx1PJ1I6diiKDwjHUS_etGQqXT6Y49aRtJsje9-sOxJqnHIteaBM7tEIDSdveRr70zcpl-xBa9ebl8pYxv8QYeKf_o4LbgFXxEVGwSmyu8cgJfjoKnuBHXmr2zdqvnU3-ORP6RBV-Ri8RPLL9kvbmU-H9y_6qFewA0wyp6rqFrY0CNvKh4LIBvyFCF4AH8uhiD1r7YxnxhtdJ_KNh_J1vCMKwATKlWJMtEPHwZVhSFddEWw==&xkcb=SoDr-_M3bC2wMkQdlh0KbzkdCdPP&p=1&fvj=0&vjs=3
Urgently hiring,KEYENCE,Data Analyst,"Itasca, IL 60143","$97,000 - $135,000 a year",401(k) 401(k) matching Dental insurance Flexible spending account Health insurance Health savings account,"This position is located at our Headquarters building in Itasca, IL. Keyence is seeking a Data Analyst with focus on Business Intelligence & Database Design for our Management Information Systems department (MIS), open and ready to collaborate with other team members and departments. About Keyence Keyence is a high technology company that ranks among the most innovative companies in the world. We consistently outperform our industry peers by providing the most advanced and simple to use products and world class technical support. Main Duties and Tasks Provide support to end-users by maintaining a strong knowledge of company systems Generate performance-based incentive compensation reports for sales teams on a monthly and quarterly basis through the use of a data visualization software Communicate with the strategic marketing team on a day-to-day basis to help assist with usage of company tools and compensation system Build and/or maintain existing reports with SQL queries, Microsoft Excel, and Business Intelligence platforms Maintain policies and procedures to ensure the security and integrity of the company databases and application systems Other duties and projects as assigned General Skills and Profile Requirements Strong communication and analytical skills, level-headed, with a developer mindset Team player, personable and reliable Problem-solving and positive attitude Ability to work with large volume of confidential data Ability to multi-task and prioritize work based on urgency In-depth understanding of relational databases and techniques for normalization Four-year college degree Technical Skills Preferred: Intermediate level in Microsoft Excel Preferred: Intermediate level in T-SQL Preferred: Some experience with Business Intelligence software (Tableau, Microsoft Power BI) Optional: Familiarity with web development, HTML5, CSS Optional: Familiarity with C#, .NET, Python Optional: Familiarity with Microsoft SSRS, SSIS KEYENCE is an at-will, Equal Opportunity Employer. Keyence will not sponsor applicants for work visas. Job Type: Full-time Pay: $97,000.00 - $135,000.00 per year Benefits: 401(k) 401(k) matching Dental insurance Flexible spending account Health insurance Health savings account Life insurance Paid time off Parental leave Relocation assistance Vision insurance Schedule: 8 hour shift Monday to Friday Supplemental Pay: Bonus pay Work Location: One location",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D4_wQinRn6NVl4Z1WadtWOE34F-GxEhdHbBPYsStVhxz22NigHplkqxzBzL7slGm-d2xmTfnCjZVtozxBANFBanzOdZ4OZ30cYCjZP_sCIvESQZcdzs2NJ3FUrMuQfThfkzT782qTwG6AsT9PKUemGqgD__4eAGdDiE0tnOwP692YPhH__SHkY6F-PxvN6L9y_lwWBPuSExDJL-NLrHP3kfac75M9qsYIQ-Lg-CCQkzwLdBwBO3jzG7NZW5MfJIyRPnAEuZKnkXPRMaC1IhOSgbawmLj9n4f8OimRuQB4YaJ7EZew-f5R4NiZaDwTD0PIyUNKy3MLoYWaYItAd4X-FCcFU3uLajm4ardpZT5wQ06VL70P2QS7S8ieezRJBGIgUAWYsQpPdTwU4hPPV4d-p56nI5Y1rpt1mENqOFg9c_ai37IDyCZH0rOFQM3oxXaataUpridv_IFg_iskJ08hjoHDCKshl2YrNZ8tw7fYQvw==&xkcb=SoCu-_M3bC2wMkwdlh0KbzkdCdPP&p=2&fvj=1&vjs=3
